centroid_x,centroid_y,major_axis,minor_axis,circularity,area,distance_from_center,filename,time_type,datetime,body_length,movement
479.0,378.0,109.71368408203124,28.92906379699707,0.4526712247323436,2307.5,407.0196555450363,00000.jpg,昼,2024-01-01 09:00:00,69.32137393951416,0.0
476.0,376.0,99.95340728759766,39.27849960327149,0.4552673305497309,2502.0,410.6214801980042,00001.jpg,昼,2024-01-01 09:00:10,69.61595344543457,3.605551275463989
477.0,374.0,96.90703582763672,34.91482162475586,0.5049828340029653,2400.5,411.0048661512416,00002.jpg,昼,2024-01-01 09:00:20,65.91092872619629,2.23606797749979
477.0,374.0,98.58421325683594,36.25603866577149,0.4795217583957,2416.0,411.0048661512416,00003.jpg,昼,2024-01-01 09:00:30,67.42012596130371,0.0
477.0,374.0,95.80477142333984,37.083457946777344,0.4930972056080854,2308.5,411.0048661512416,00004.jpg,昼,2024-01-01 09:00:40,66.4441146850586,0.0
476.0,375.0,94.88506317138672,40.61579513549805,0.4907108894374996,2428.5,411.21405617999005,00005.jpg,昼,2024-01-01 09:00:50,67.75042915344238,1.4142135623730951
476.0,376.0,93.16081237792967,38.79808044433594,0.4996793581145684,2387.5,410.6214801980042,00006.jpg,昼,2024-01-01 09:01:00,65.97944641113281,1.0
478.0,373.0,94.57747650146484,34.46221923828125,0.5091064321687702,2289.5,410.8004381691918,00007.jpg,昼,2024-01-01 09:01:10,64.51984786987305,3.605551275463989
479.0,373.0,102.08219146728516,34.890869140625,0.5098980563051783,2433.5,410.0,00008.jpg,昼,2024-01-01 09:01:20,68.48653030395508,1.0
480.0,371.0,99.06087493896484,34.27798843383789,0.5101151949938273,2312.0,410.4058966437983,00009.jpg,昼,2024-01-01 09:01:30,66.66943168640137,2.23606797749979
479.0,372.0,98.49652862548828,36.405670166015625,0.5178916187986725,2354.0,410.600779346557,00010.jpg,昼,2024-01-01 09:01:40,67.45109939575195,1.4142135623730951
479.0,372.0,96.9686508178711,36.78050994873047,0.5122428273124909,2377.0,410.600779346557,00011.jpg,昼,2024-01-01 09:01:50,66.87458038330078,0.0
480.0,371.0,106.44230651855467,34.50452423095703,0.512201406853557,2362.5,410.4058966437983,00012.jpg,昼,2024-01-01 09:02:00,70.47341537475586,1.4142135623730951
479.0,372.0,99.72903442382812,34.88566207885742,0.5144614265192846,2382.5,410.600779346557,00013.jpg,昼,2024-01-01 09:02:10,67.30734825134277,1.4142135623730951
479.0,372.0,103.88898468017578,34.27252578735352,0.5100544145166823,2413.0,410.600779346557,00014.jpg,昼,2024-01-01 09:02:20,69.08075523376465,0.0
479.0,372.0,102.7729721069336,36.104103088378906,0.5006508575168825,2350.5,410.600779346557,00015.jpg,昼,2024-01-01 09:02:30,69.43853759765625,0.0
479.0,372.0,101.5313491821289,37.0251579284668,0.5111335090110803,2406.5,410.600779346557,00016.jpg,昼,2024-01-01 09:02:40,69.27825355529785,0.0
479.0,372.0,101.45558166503906,34.38958740234375,0.514493343913734,2434.0,410.600779346557,00017.jpg,昼,2024-01-01 09:02:50,67.9225845336914,0.0
479.0,372.0,107.17908477783205,35.39857864379883,0.5069874563655733,2438.0,410.600779346557,00018.jpg,昼,2024-01-01 09:03:00,71.28883171081543,0.0
479.0,372.0,102.8168487548828,36.49845504760742,0.510385964030533,2449.5,410.600779346557,00019.jpg,昼,2024-01-01 09:03:10,69.65765190124512,0.0
479.0,371.0,102.2565460205078,35.85918045043945,0.5183101752884454,2393.5,411.2031128286847,00020.jpg,昼,2024-01-01 09:03:20,69.05786323547363,1.0
479.0,372.0,101.7277374267578,35.715579986572266,0.5017334679252217,2417.5,410.600779346557,00021.jpg,昼,2024-01-01 09:03:30,68.72165870666504,1.0
479.0,371.0,100.54668426513672,35.35280990600586,0.5099283237137241,2384.5,411.2031128286847,00022.jpg,昼,2024-01-01 09:03:40,67.94974708557129,1.0
479.0,371.0,101.19005584716795,34.0460319519043,0.533997419252049,2405.5,411.2031128286847,00023.jpg,昼,2024-01-01 09:03:50,67.61804389953613,0.0
479.0,371.0,106.35762786865234,35.53206253051758,0.51891007091829,2426.5,411.2031128286847,00024.jpg,昼,2024-01-01 09:04:00,70.94484519958496,0.0
479.0,372.0,104.5588836669922,36.61971282958984,0.503837138976681,2446.0,410.600779346557,00025.jpg,昼,2024-01-01 09:04:10,70.58929824829102,1.0
479.0,372.0,104.02730560302734,34.03257369995117,0.5093161363762145,2342.5,410.600779346557,00026.jpg,昼,2024-01-01 09:04:20,69.02993965148926,0.0
480.0,371.0,104.24009704589844,34.5212516784668,0.5224539263823809,2353.5,410.4058966437983,00027.jpg,昼,2024-01-01 09:04:30,69.38067436218262,1.4142135623730951
479.0,372.0,105.39743041992188,35.89228057861328,0.4917942744852499,2413.0,410.600779346557,00028.jpg,昼,2024-01-01 09:04:40,70.64485549926758,1.4142135623730951
479.0,371.0,110.43013763427734,35.04402160644531,0.5044069463338721,2404.5,411.2031128286847,00029.jpg,昼,2024-01-01 09:04:50,72.73707962036133,1.0
480.0,371.0,104.68177032470705,35.130577087402344,0.5205130331625876,2396.0,410.4058966437983,00030.jpg,昼,2024-01-01 09:05:00,69.90617370605469,1.0
